episode_counter,current_waypoint,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,rotation_angle,vel_x,vel_y,vel_z,forward_x,forward_y,forward_z
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5,27,0,0,0,1,0,0,0,0,0,0,1
0,1,125,0.5209895,27.00002,1.192875e-05,1.122655e-06,-9.505111e-06,1,0.0001286338,0,0,0,2.245083e-06,-2.385752e-05,1
0,1,125.001,0.5547588,27.00963,0.008476381,-1.271753e-06,-0.000908356,0.9999636,-0.001028181,0.01314931,0.5467318,0.1206129,-1.794256e-05,-0.01695214,0.9998563
0,1,125.0015,0.5799472,27.01417,0.0124613,-4.448836e-06,-0.001326357,0.9999214,-0.002404491,0.009376576,0.6125626,0.08538635,-4.195324e-05,-0.02492063,0.9996895
0,1,125.0017,0.6146497,27.01675,0.01471437,-7.679134e-06,-0.001478739,0.9998907,-0.003374692,0.0006690336,0.577676,0.01708024,-5.887399e-05,-0.02942549,0.999567
0,1,125.0015,0.6324774,27.01554,0.01362523,-7.085951e-06,-0.001259992,0.9999064,-0.002780217,-0.004850335,0.4812953,-0.02662335,-4.850592e-05,-0.02724789,0.9996287
0,1,125.0007,0.6478896,27.01011,0.008817405,-2.39795e-06,-0.0005726736,0.999961,-0.0008535363,-0.01070855,0.2693732,-0.07723302,-1.48947e-05,-0.01763412,0.9998445
0,1,125,0.6500536,27.00495,0.004248715,1.436578e-06,2.361237e-05,0.9999911,0.0001761206,-0.0128901,0.1108649,-0.09849253,3.073774e-06,-0.008497355,0.9999639
0,1,124.999,0.6423998,26.99668,-0.003063806,4.994259e-06,0.0009149091,0.9999949,0.0002510897,-0.01335208,-0.1090346,-0.1094085,4.382259e-06,0.006127591,0.9999812
0,1,124.9985,0.6317791,26.99188,-0.00730038,4.95288e-06,0.00137159,0.9999724,-0.0005799395,-0.01143284,-0.2238566,-0.1015499,-1.012077e-05,0.01460037,0.9998934
0,1,124.9981,0.6115345,26.98722,-0.01141608,1.805209e-06,0.001672639,0.9999335,-0.001981793,-0.005487325,-0.3274783,-0.06855571,-3.45798e-05,0.02283065,0.9997393
0,1,124.9982,0.5975893,26.98622,-0.01228746,-8.885841e-07,0.001588662,0.9999233,-0.002339421,-0.0005149143,-0.3466602,-0.03671939,-4.081828e-05,0.02457303,0.999698
0,1,124.9988,0.5796291,26.98786,-0.01082197,-2.976115e-06,0.001110766,0.9999408,-0.001718888,0.006270543,-0.306373,0.01468075,-2.999323e-05,0.02164265,0.9997658
0,1,124.9993,0.5711578,26.99067,-0.008325956,-2.391163e-06,0.0006374401,0.9999651,-0.0008822915,0.009511204,-0.2431815,0.0449271,-1.539676e-05,0.01665133,0.9998614
0,1,125.0002,0.5650429,26.99647,-0.003189444,4.16388e-07,-0.0001559843,0.9999949,0.0001047261,0.01181921,-0.1176383,0.07561655,1.827779e-06,0.006378856,0.9999797
0,1,125.0008,0.5653725,27.0007,0.0005421255,2.355569e-06,-0.0006527611,0.9999996,0.0002293768,0.01148535,-0.02882297,0.08311079,4.003379e-06,-0.001084254,0.9999994
0,1,125.0014,0.5713661,27.00633,0.005508559,3.646723e-06,-0.001204553,0.9999841,-0.000342499,0.008202993,0.08805138,0.07362884,-5.977372e-06,-0.01101695,0.9999393
0,1,125.0016,0.5779179,27.009,0.007855071,3.127681e-06,-0.001379102,0.9999682,-0.0008830791,0.004594858,0.1446504,0.05566383,-1.541073e-05,-0.01570965,0.9998766
